clf,atlas_name,itr,tp,tn,fp,fn,sen,spc,acc,pre,npv,f1,roc_auc
BaggingClassifier,rois_ho,average,17.1,32.8,14.7,23.6,0.419878049,0.690558511,0.565653728,0.533770373,0.583905045,0.466973565,0.5553
SGDClassifier,rois_ho,0,18,32,16,23,0.43902439,0.666666667,0.561797753,0.529411765,0.581818182,0.48,0.553
SGDClassifier,rois_ho,1,27,32,16,14,0.658536585,0.666666667,0.662921348,0.627906977,0.695652174,0.642857143,0.663
SGDClassifier,rois_ho,2,21,38,9,20,0.512195122,0.808510638,0.670454545,0.7,0.655172414,0.591549296,0.66
SGDClassifier,rois_ho,3,19,34,13,22,0.463414634,0.723404255,0.602272727,0.59375,0.607142857,0.520547945,0.593
SGDClassifier,rois_ho,4,23,31,16,18,0.56097561,0.659574468,0.613636364,0.58974359,0.632653061,0.575,0.61
SGDClassifier,rois_ho,5,24,27,20,17,0.585365854,0.574468085,0.579545455,0.545454545,0.613636364,0.564705882,0.58
SGDClassifier,rois_ho,6,30,33,14,11,0.731707317,0.70212766,0.715909091,0.681818182,0.75,0.705882353,0.717
SGDClassifier,rois_ho,7,21,31,17,19,0.525,0.645833333,0.590909091,0.552631579,0.62,0.538461538,0.585
SGDClassifier,rois_ho,8,23,31,17,17,0.575,0.645833333,0.613636364,0.575,0.645833333,0.575,0.61
SGDClassifier,rois_ho,9,25,33,15,15,0.625,0.6875,0.659090909,0.625,0.6875,0.625,0.656
SGDClassifier,rois_ho,average,23.1,32.2,15.3,17.6,0.567621951,0.678058511,0.627017365,0.602071664,0.648940838,0.581900416,0.6227
AdaBoostClassifier,rois_ho,0,23,38,10,18,0.56097561,0.791666667,0.685393258,0.696969697,0.678571429,0.621621622,0.676
AdaBoostClassifier,rois_ho,1,19,37,11,22,0.463414634,0.770833333,0.629213483,0.633333333,0.627118644,0.535211268,0.617
AdaBoostClassifier,rois_ho,2,19,31,16,22,0.463414634,0.659574468,0.568181818,0.542857143,0.58490566,0.5,0.561
AdaBoostClassifier,rois_ho,3,22,40,7,19,0.536585366,0.85106383,0.704545455,0.75862069,0.677966102,0.628571429,0.694
AdaBoostClassifier,rois_ho,4,20,34,13,21,0.487804878,0.723404255,0.613636364,0.606060606,0.618181818,0.540540541,0.606
AdaBoostClassifier,rois_ho,5,22,34,13,19,0.536585366,0.723404255,0.636363636,0.628571429,0.641509434,0.578947368,0.63
AdaBoostClassifier,rois_ho,6,23,37,10,18,0.56097561,0.787234043,0.681818182,0.696969697,0.672727273,0.621621622,0.674
AdaBoostClassifier,rois_ho,7,24,32,16,16,0.6,0.666666667,0.636363636,0.6,0.666666667,0.6,0.633
